title	Si_001_2x1
particles	256
supercell
xmin	-0.679000
xmax	21.049000
ymin	-0.679000
ymax	21.049000
zmin	-20.679000
zmax	30.185000
species	x	y	z	mobileFlag	thermoFlag
Si	0.000000	0.000000	0.000000	0	0
Si	5.432000	0.000000	0.000000	0	0
Si	10.864000	0.000000	0.000000	0	0
Si	16.296000	0.000000	0.000000	0	0
Si	2.716000	2.716000	0.000000	0	0
Si	8.148000	2.716000	0.000000	0	0
Si	13.580000	2.716000	0.000000	0	0
Si	19.012000	2.716000	0.000000	0	0
Si	0.000000	5.432000	0.000000	0	0
Si	5.432000	5.432000	0.000000	0	0
Si	10.864000	5.432000	0.000000	0	0
Si	16.296000	5.432000	0.000000	0	0
Si	2.716000	8.148000	0.000000	0	0
Si	8.148000	8.148000	0.000000	0	0
Si	13.580000	8.148000	0.000000	0	0
Si	19.012000	8.148000	0.000000	0	0
Si	0.000000	10.864000	0.000000	0	0
Si	5.432000	10.864000	0.000000	0	0
Si	10.864000	10.864000	0.000000	0	0
Si	16.296000	10.864000	0.000000	0	0
Si	2.716000	13.580000	0.000000	0	0
Si	8.148000	13.580000	0.000000	0	0
Si	13.580000	13.580000	0.000000	0	0
Si	19.012000	13.580000	0.000000	0	0
Si	0.000000	16.296000	0.000000	0	0
Si	5.432000	16.296000	0.000000	0	0
Si	10.864000	16.296000	0.000000	0	0
Si	16.296000	16.296000	0.000000	0	0
Si	2.716000	19.012000	0.000000	0	0
Si	8.148000	19.012000	0.000000	0	0
Si	13.580000	19.012000	0.000000	0	0
Si	19.012000	19.012000	0.000000	0	0
Si	1.358000	1.358000	1.358000	0	0
Si	6.790000	1.358000	1.358000	0	0
Si	12.222000	1.358000	1.358000	0	0
Si	17.654000	1.358000	1.358000	0	0
Si	4.074000	4.074000	1.358000	0	0
Si	9.506000	4.074000	1.358000	0	0
Si	14.938000	4.074000	1.358000	0	0
Si	20.370000	4.074000	1.358000	0	0
Si	1.358000	6.790000	1.358000	0	0
Si	6.790000	6.790000	1.358000	0	0
Si	12.222000	6.790000	1.358000	0	0
Si	17.654000	6.790000	1.358000	0	0
Si	4.074000	9.506000	1.358000	0	0
Si	9.506000	9.506000	1.358000	0	0
Si	14.938000	9.506000	1.358000	0	0
Si	20.370000	9.506000	1.358000	0	0
Si	1.358000	12.222000	1.358000	0	0
Si	6.790000	12.222000	1.358000	0	0
Si	12.222000	12.222000	1.358000	0	0
Si	17.654000	12.222000	1.358000	0	0
Si	4.074000	14.938000	1.358000	0	0
Si	9.506000	14.938000	1.358000	0	0
Si	14.938000	14.938000	1.358000	0	0
Si	20.370000	14.938000	1.358000	0	0
Si	1.358000	17.654000	1.358000	0	0
Si	6.790000	17.654000	1.358000	0	0
Si	12.222000	17.654000	1.358000	0	0
Si	17.654000	17.654000	1.358000	0	0
Si	4.074000	20.370000	1.358000	0	0
Si	9.506000	20.370000	1.358000	0	0
Si	14.938000	20.370000	1.358000	0	0
Si	20.370000	20.370000	1.358000	0	0
